"GOBPID"	"Pvalue"	"OddsRatio"	"ExpCount"	"Count"	"Size"	"Term"
"1"	"GO:0050852"	4.34279597758817e-09	143.964912280702	0.0719641993226899	5	119	"T cell receptor signaling pathway"
"2"	"GO:0050851"	1.49184838022882e-08	111.421768707483	0.0919206579583938	5	152	"antigen receptor-mediated signaling pathway"
"3"	"GO:0002684"	1.53784299163077e-07	40.4168514412417	0.549709724238026	7	909	"positive regulation of immune system process"
"4"	"GO:0002682"	1.76131357731096e-07	40.1576486305945	0.910135462022254	8	1505	"regulation of immune system process"
"5"	"GO:0002696"	2.63615387773968e-07	61.3622641509434	0.163280116110305	5	270	"positive regulation of leukocyte activation"
"6"	"GO:0050776"	2.68726703510707e-07	37.0544773578481	0.596274794388002	7	986	"regulation of immune response"
"7"	"GO:0050867"	3.10241799619459e-07	59.3138686131387	0.168722786647315	5	279	"positive regulation of cell activation"
"8"	"GO:0050863"	3.21440962197157e-07	58.8768115942029	0.169932268988873	5	281	"regulation of T cell activation"
"9"	"GO:1903037"	3.69491415994706e-07	57.1901408450704	0.174770198355104	5	289	"regulation of leukocyte cell-cell adhesion"
"10"	"GO:0034110"	4.30186618447987e-07	55.4027303754266	0.180212868892114	5	298	"regulation of homotypic cell-cell adhesion"
"11"	"GO:0030155"	4.50684135052951e-07	39.6094527363184	0.368287373004354	6	609	"regulation of cell adhesion"
"12"	"GO:0002429"	7.12885958161245e-07	49.8492307692308	0.199564586357039	5	330	"immune response-activating cell surface receptor signaling pathway"
"13"	"GO:0050778"	7.30115977697342e-07	36.3458015267176	0.399733913884857	6	661	"positive regulation of immune response"
"14"	"GO:0045785"	1.1109139985092e-06	45.4213483146067	0.218311562651185	5	361	"positive regulation of cell adhesion"
"15"	"GO:0051249"	1.20505133441341e-06	44.6519337016575	0.221940009675859	5	367	"regulation of lymphocyte activation"
"16"	"GO:0022407"	1.25443093659146e-06	44.2767123287671	0.223754233188195	5	370	"regulation of cell-cell adhesion"
"17"	"GO:0002694"	2.36918763385904e-06	38.7259615384615	0.25459603289792	5	421	"regulation of leukocyte activation"
"18"	"GO:0042110"	2.72005404605486e-06	37.6121495327103	0.261852926947267	5	433	"T cell activation"
"19"	"GO:0070489"	2.72005404605486e-06	37.6121495327103	0.261852926947267	5	433	"T cell aggregation"
"20"	"GO:0071593"	2.75104926702801e-06	37.5221445221445	0.262457668118045	5	434	"lymphocyte aggregation"
"21"	"GO:0070486"	2.97591994146139e-06	36.9036697247706	0.266690856313498	5	441	"leukocyte aggregation"
"22"	"GO:0007155"	3.24498301307927e-06	24.9372937293729	0.859337203676826	7	1421	"cell adhesion"
"23"	"GO:0022610"	3.33889379168328e-06	24.8220657276995	0.8629656507015	7	1427	"biological adhesion"
"24"	"GO:0050865"	3.35840761059025e-06	35.9709172259508	0.273343009192066	5	452	"regulation of cell activation"
"25"	"GO:0050870"	3.65006060284706e-06	57.319298245614	0.117319787131108	4	194	"positive regulation of T cell activation"
"26"	"GO:0034112"	3.95840631255988e-06	56.1237113402062	0.119738751814224	4	198	"positive regulation of homotypic cell-cell adhesion"
"27"	"GO:1903039"	4.03842276301829e-06	55.8324786324786	0.120343492985002	4	199	"positive regulation of leukocyte cell-cell adhesion"
"28"	"GO:0007159"	4.1097250536085e-06	34.4635193133047	0.284833091436865	5	471	"leukocyte cell-cell adhesion"
"29"	"GO:0002757"	4.37266300718358e-06	34.0127118644068	0.288461538461538	5	477	"immune response-activating signal transduction"
"30"	"GO:0034109"	5.66967908517312e-06	32.1847389558233	0.30418480890179	5	503	"homotypic cell-cell adhesion"
"31"	"GO:0002768"	6.42288357671719e-06	31.3405088062622	0.312046444121916	5	516	"immune response-regulating cell surface receptor signaling pathway"
"32"	"GO:0002253"	7.18619416781739e-06	30.5984703632887	0.319303338171263	5	528	"activation of immune response"
"33"	"GO:0022409"	7.42059921232345e-06	47.6549707602339	0.140299951620706	4	232	"positive regulation of cell-cell adhesion"
"34"	"GO:0006955"	8.0608634047384e-06	21.4842495367511	0.983309143686502	7	1626	"immune response"
"35"	"GO:0051251"	9.20659429043596e-06	45.0484094052559	0.148161586840832	4	245	"positive regulation of lymphocyte activation"
"36"	"GO:0031295"	1.05109967945643e-05	97.9404761904762	0.045355587808418	3	75	"T cell costimulation"
"37"	"GO:0031294"	1.09394738753618e-05	96.5929549902153	0.0459603289791969	3	76	"lymphocyte costimulation"
"38"	"GO:0002376"	1.1491752524469e-05	21.7414330218069	1.55781325592646	8	2576	"immune system process"
"39"	"GO:0046649"	1.26535769583383e-05	27.1054421768707	0.358611514271892	5	593	"lymphocyte activation"
"40"	"GO:0002764"	1.99054522170156e-05	24.5820433436533	0.393686502177068	5	651	"immune response-regulating signaling pathway"
"41"	"GO:0045086"	2.55835719048026e-05	375.340909090909	0.00786163522012579	2	13	"positive regulation of interleukin-2 biosynthetic process"
"42"	"GO:0045321"	2.73181518375173e-05	22.9507246376812	0.42029511369134	5	695	"leukocyte activation"
"43"	"GO:0016337"	2.86737688665092e-05	22.7101865136298	0.424528301886792	5	702	"single organismal cell-cell adhesion"
"44"	"GO:0098602"	3.91997186218359e-05	21.2123655913978	0.452951136913401	5	749	"single organism cell adhesion"
"45"	"GO:0045076"	5.59785904747322e-05	242.779411764706	0.0114900822447992	2	19	"regulation of interleukin-2 biosynthetic process"
"46"	"GO:0042094"	7.55470403479301e-05	206.325	0.0133043057571359	2	22	"interleukin-2 biosynthetic process"
"47"	"GO:0098609"	8.00118049862592e-05	18.1273148148148	0.52552007740687	5	869	"cell-cell adhesion"
"48"	"GO:0001775"	0.00011005719196377	16.8852813852814	0.561804547653604	5	929	"cell activation"
"49"	"GO:0050690"	0.000132480089694655	152.768518518519	0.0175374939525883	2	29	"regulation of defense response to virus by virus"
"50"	"GO:0032743"	0.000161691005789799	137.466666666667	0.019351717464925	2	32	"positive regulation of interleukin-2 production"
"51"	"GO:0030217"	0.000220554347208287	34.1205574912892	0.125786163522013	3	208	"T cell differentiation"
"52"	"GO:0048584"	0.00038434237747336	11.1474489795918	1.18892114175133	6	1966	"positive regulation of response to stimulus"
"53"	"GO:0032663"	0.000397024936561745	85.8229166666667	0.0302370585389453	2	50	"regulation of interleukin-2 production"
"54"	"GO:0046635"	0.000397024936561745	85.8229166666667	0.0302370585389453	2	50	"positive regulation of alpha-beta T cell activation"
"55"	"GO:0032623"	0.000516099641347001	74.8681818181818	0.0344702467343977	2	57	"interleukin-2 production"
"56"	"GO:0042108"	0.000571812292166828	70.9827586206897	0.0362844702467344	2	60	"positive regulation of cytokine biosynthetic process"
"57"	"GO:0030887"	0.000604741170779022	Inf	0.000604741170778907	1	1	"positive regulation of myeloid dendritic cell activation"
"58"	"GO:0030098"	0.000664413247478739	23.18	0.183236574746009	3	303	"lymphocyte differentiation"
"59"	"GO:0002824"	0.000691618498576946	64.3046875	0.0399129172714078	2	66	"positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains"
"60"	"GO:0046634"	0.000712669038938205	63.3115384615385	0.0405176584421867	2	67	"regulation of alpha-beta T cell activation"
"61"	"GO:0002708"	0.000734028146414148	62.3484848484849	0.0411223996129656	2	68	"positive regulation of lymphocyte mediated immunity"
"62"	"GO:0038095"	0.000743940101313853	22.271978021978	0.190493468795356	3	315	"Fc-epsilon receptor signaling pathway"
"63"	"GO:0009967"	0.000752550579118138	10.8636037329505	0.845428156748911	5	1398	"positive regulation of signal transduction"
"64"	"GO:0002821"	0.000755695515618353	61.4141791044776	0.0417271407837446	2	69	"positive regulation of adaptive immune response"
